z,fz,Q,theta,delta fz,f,delta f,f raw,delta f raw,pred,predz,predNNLL,predzNNLL,predNLO,predzNLO,predimprvnlo,predzimprvnlo,cost
2.35162e-06,251.04549999999998,300.0,0.0030669997348430574,12.552275,0.3849776374182281,0.019248881870911408,0.3849776374182281,0.019248881870911408,0.32945895454022667,214.84153865845383,42.56765058891033,27758.53994425366,9.78201867645355,6378.894592705359,0.3990936960035792,260.25063983449616,0.5377939220759874
4.532265e-06,250.99169999999998,300.0,0.0042578266038823245,12.549585,0.5343379542934994,0.026716897714674972,0.5343379542934994,0.026716897714674972,0.45244906887625397,212.52647327068158,26.41868149249189,12409.505494189345,6.930028129824747,3255.2049267253306,0.5478071918259515,257.31853266986684,0.254163959858476
8.735025e-06,246.3824,300.0,0.005911023746748586,12.31912,0.7281818681029402,0.03640909340514701,0.7281818681029402,0.03640909340514701,0.6153241012205664,208.19665454116233,16.488631065281584,5578.975078248353,4.9081595279086265,1660.689694484459,0.7443124748486372,251.8402365344565,0.19628254342066342
1.919565e-05,239.3348,300.0,0.008762596150824118,11.96674,1.048583679582854,0.0524291839791427,1.048583679582854,0.0524291839791427,0.8679996662624829,198.1172609968924,9.444661809936115,2155.704203071272,3.243178703408375,740.2418533285695,1.047619469125421,239.11472303191343,0.00033821859267251696
3.699565e-05,219.63519999999997,300.0,0.012164884912735352,10.98176,1.3358855164489585,0.06679427582244793,1.3358855164489585,0.06679427582244793,1.1127205845795856,182.9442756351584,5.982587529301839,983.6073468395299,2.2954540013478164,377.3994795729121,1.3383026012455252,220.03259700458918,0.0013094993345632237
7.13016e-05,185.6753,300.0,0.016888255647502633,9.283764999999999,1.5677914386368064,0.07838957193184032,1.5677914386368064,0.07838957193184032,1.3436839747890732,159.1340014849705,3.818093940792954,452.1811514045034,1.624149731348094,192.34987587072604,1.6066298119786961,190.27497215284555,0.24547398818925514
0.000156689,128.8206,300.0,0.025035749199750143,6.441030000000001,1.6123916662064846,0.08061958331032423,1.6123916662064846,0.08061958331032423,1.4914986471167762,119.16195962040298,2.250154455507804,179.77409157240587,1.0718600813357049,85.6353091420853,1.7631907157798086,140.86855612170925,3.4987757715723595
0.0003019855,81.47677999999999,300.0,0.03475720951462861,4.0738389999999995,1.4156676802381727,0.07078338401190863,1.4156676802381727,0.07078338401190863,1.419370001208074,81.68986192266091,1.4605497369656464,84.05990421268011,0.7577996580602322,43.61410300294563,1.6552949383271884,95.26819281662743,11.460664356554272
0.0005820155,44.500910000000005,300.0,0.048254676419042325,2.2250455000000002,1.0732718716281173,0.05366359358140587,1.0732718716281173,0.05366359358140587,1.1724188909354816,48.61182793197955,0.9550632843083116,39.59964514381218,0.535534991812892,22.204806724659814,1.3447977304528729,55.75914579807736,25.60135126342879
0.001121715,22.129600000000003,300.0,0.06699655710384739,1.1064800000000001,0.7407490679139086,0.03703745339569543,0.7407490679139086,0.03703745339569543,0.8523200775545703,25.462741980046264,0.6288646920286353,18.787096321171873,0.3782736247217961,11.300782367796863,0.9613107295838293,28.718796746256253,35.463191233932115
0.002465025,8.901160000000003,300.0,0.09933887691053876,0.4450580000000001,0.4413888290222029,0.022069441451110144,0.4413888290222029,0.022069441451110144,0.5215518217886811,10.517747411770163,0.3840173023711064,7.744191122248937,0.24903306574930317,5.022064487757038,0.5786108656478994,11.668414681630706,38.66028379802649
0.004750835,4.072057,300.0,0.13796198895314798,0.20360285000000003,0.2800043208531565,0.014000216042657826,0.2800043208531565,0.014000216042657826,0.33073168958856936,4.809776819184321,0.25607584164786884,3.724069044134327,0.17559880230448796,2.5537046354745403,0.36307482570643634,5.280137753006419,35.20661124132297
0.00915626,1.9016240000000002,300.0,0.191669955662513,0.0950812,0.1811282924966752,0.00905641462483376,0.1811282924966752,0.00905641462483376,0.20610478126084958,2.1638463718614043,0.17145089055140142,1.8000231979214563,0.12363478799676939,1.298013009722842,0.22440101791907932,2.3559343237732135,22.830525253364506
0.0201213,0.7850705,300.0,0.28465925478455767,0.039253525000000004,0.11023584495648538,0.0055117922478242695,0.11023584495648538,0.0055117922478242695,0.11633505354125602,0.8285074486181226,0.10625072842844169,0.756689555249547,0.08086753906070525,0.5759172014258903,0.1257228009693044,0.895364500152684,7.894896672472387
1.220165e-06,899.5591,600.0,0.0022092220316210737,44.977955,0.9936620829440264,0.04968310414720132,0.9936620829440264,0.04968310414720132,0.8547622712651495,773.8135455215381,43.30584963176058,39204.646919868734,12.00998472465818,10872.600691291385,1.020170850674268,923.5574024922048,0.28468306646643865
2.35162e-06,880.7122,600.0,0.0030669997348430574,44.035610000000005,1.3505699245810423,0.06752849622905212,1.3505699245810423,0.06752849622905212,1.1617825061374456,757.6031483295668,27.437122943837043,17891.860665439544,8.517102477990552,5554.037539628626,1.385365537367781,903.4025621426806,0.26550629427717887
4.532265e-06,862.1204,600.0,0.0042578266038823245,43.10602000000001,1.8353740418137072,0.09176870209068537,1.8353740418137072,0.09176870209068537,1.5501501628425676,728.1437178490659,17.476284639103465,8209.04140536331,6.038566987958389,2836.4636681583265,1.845419576491625,866.8390350996782,0.011982762058148126
8.735025e-06,797.9970000000001,600.0,0.005911023746748586,39.89985,2.3584758740906087,0.11792379370453043,2.3584758740906087,0.11792379370453043,2.001352649992846,677.163344421383,11.196202000948453,3788.2666964299046,4.280201688813745,1448.2183789076487,2.3755247928516385,803.7655500089297,0.02090214219991908
1.919565e-05,654.3954,600.0,0.008762596150824118,32.719770000000004,2.8670646159024664,0.14335323079512333,2.8670646159024664,0.14335323079512333,2.521719869993796,575.571919049025,6.615014604469159,1509.849169107355,2.8310529484042326,646.175888857327,2.9742464786904574,678.859207890083,0.5590203669094412
3.699565e-05,485.4717999999999,600.0,0.012164884912735352,24.27359,2.952781458820833,0.14763907294104167,2.952781458820833,0.14763907294104167,2.771517996947046,455.6699672747159,4.296399696087857,706.378349724589,2.005483048790867,329.7248642149055,3.240987300035995,532.8562104131948,3.810684015497321
7.13016e-05,313.981,600.0,0.016888255647502633,15.69905,2.651169669280853,0.13255848346404264,2.651169669280853,0.13255848346404264,2.694737175004479,319.140748609496,2.808296794967976,332.5897418779768,1.4202437230723381,168.20105841620355,3.1133259416175756,368.71468612576126,12.155215124388135
0.000156689,153.72500000000002,600.0,0.025035749199750143,7.686250000000001,1.9241092564977327,0.09620546282488664,1.9241092564977327,0.09620546282488664,2.1569848962547726,172.33039239170444,1.6999055219159218,135.81244176964077,0.9383328604537736,74.96727043235153,2.44652044554825,195.4625779288994,29.486652643751
0.0003019855,76.46891,600.0,0.03475720951462861,3.8234455,1.328655408694865,0.06643277043474326,1.328655408694865,0.06643277043474326,1.5543376660049042,89.45773773509377,1.1261405754235958,64.81345106178091,0.6640351489766353,38.21761738343433,1.73588238690088,99.90629108633951,37.57581033645606
0.0005820155,36.05219,600.0,0.048254676419042325,1.8026095000000004,0.8695058469049846,0.04347529234524923,0.8695058469049846,0.04347529234524923,1.0327082556189764,42.81902689748374,0.7501923516247783,31.105112511427173,0.46974040431785974,19.47677565070462,1.1391786103722996,47.23359118431096,38.475932050049956
0.001121715,16.57963,600.0,0.06699655710384739,0.8289815000000001,0.5549736763817456,0.02774868381908728,0.5549736763817456,0.02774868381908728,0.6579486357524096,19.65596820897888,0.5022873347481891,15.005645345388924,0.3321436679763802,9.922667247560222,0.7189113630386653,21.477206774358642,34.903809367217754
0.002465025,6.651949000000001,600.0,0.09933887691053876,0.33259745,0.32985543230606046,0.016492771615303024,0.32985543230606046,0.016492771615303024,0.37439400440698045,7.5501252345913,0.31219210644944984,6.295745853830391,0.21894741503152357,4.415349561744263,0.4056134431997588,8.17970442086189,21.09938692437029
0.004750835,3.166566,600.0,0.13796198895314798,0.1583283,0.21774060683990826,0.010887030341995414,0.21774060683990826,0.010887030341995414,0.23352819146078274,3.3961622586314477,0.21088492475900283,3.0668649378082993,0.15455884797016808,2.247724023940768,0.25154758117208365,3.658215293334836,9.64259088973961
0.00915626,1.5273860000000001,600.0,0.191669955662513,0.0763693,0.1454823972369547,0.007274119861847735,0.1454823972369547,0.007274119861847735,0.14618098433770352,1.5347203042026347,0.14281834515765995,1.499416734119962,0.10894876459938492,1.1438278508386193,0.1570986850726201,1.6493427160641945,2.5501975453496684
0.0201213,0.648043,600.0,0.28465925478455767,0.032402150000000005,0.09099509874990291,0.004549754937495146,0.09099509874990291,0.004549754937495146,0.08474842666038457,0.6035558553458265,0.08958034729622949,0.6379675147388352,0.07136657487365321,0.5082538501107587,0.09053506372410237,0.6447667523523741,0.010223645636150787
