Q,qT,gamma_q,gamma_g
100.0,15.589985456191474,0.0009761814229872246,0.0010850594926557226
100.0,19.999999999999996,0.0005359821762716937,0.0006432423243111433
200.0,0.00010000000000000009,0.025968090641057758,0.01374730452565822
200.0,0.00012828748337322612,0.02596809062987871,0.013747304522404384
200.0,0.00016457678390235722,0.02596809061148057,0.013747304517049303
200.0,0.00021113141428492658,0.025968090581201534,0.013747304508236071
200.0,0.00027085517799643207,0.02596809053136924,0.01374730449373156
200.0,0.0003474732914376942,0.025968090449356884,0.013747304469860482
200.0,0.00044576474097953264,0.02596809031438357,0.013747304430574248
200.0,0.0005718603679678219,0.025968090092248822,0.01374730436591821
200.0,0.0007336252744747877,0.02596808972666664,0.013747304259509418
200.0,0.0009411494020136261,0.025968089125003233,0.013747304084385237
200.0,0.0012073768826254465,0.025968088134805015,0.013747303796171487
200.0,0.0015489134175502926,0.0259680865051688,0.013747303321838588
200.0,0.0019870620430054962,0.025968083823166357,0.013747302541196835
200.0,0.002549151888036361,0.025968079409214185,0.01374730125644196
200.0,0.00327024280452292,0.025968072144876772,0.013747299142034214
200.0,0.004195312194116457,0.025968060189472505,0.013747295662211398
200.0,0.005382060433482072,0.02596804051367592,0.013747289935234814
200.0,0.006904509883740282,0.025968008131945705,0.013747280509971498
200.0,0.00885762196910606,0.02596795483930608,0.013747264998204818
200.0,0.01136322031088014,0.0259678671324559,0.01374723946951549
200.0,0.014577589366983399,0.025967722788594223,0.01374719745542926
200.0,0.01870122253538597,0.025967485235498966,0.01374712831056513
200.0,0.02399132775067325,0.025967094287436526,0.013747014515709376
200.0,0.030777870599161098,0.025966450902556837,0.013746827239960756
200.0,0.03948415562753177,0.025965392107765165,0.013746519038837638
200.0,0.05065322958572845,0.025963649759749435,0.013746011841893441
200.0,0.06498175348279338,0.025960782753354287,0.013745177196213371
200.0,0.08336345619486918,0.025956065663799065,0.013743803787238558
200.0,0.10694488000533925,0.025948306049695304,0.013741544081482331
200.0,0.13719689515536607,0.02593554532227609,0.013737826772148454
200.0,0.1760064440610224,0.025914570617831978,0.013731713385421519
200.0,0.22579423766059042,0.025880122685848654,0.013721664176527714
200.0,0.2896657450965321,0.025823622380775527,0.013705157927510212
200.0,0.37160489457864476,0.025731155032113054,0.013678079812982608
200.0,0.47672256734667207,0.025580364817436398,0.013633750057139883
200.0,0.611575384321278,0.02533589191372669,0.013561419950980027
200.0,0.7845746694759025,0.024943242994906918,0.01344403968449085
200.0,1.0065110986544394,0.024322012192307948,0.013255188510248622
200.0,1.2912277583359881,0.023362034067874,0.012955444715122012
200.0,1.6564835957857595,0.021931039875310646,0.012489492091754066
200.0,2.1250611175238725,0.01990749654346733,0.011787223774027213
200.0,2.7261874278143234,0.01724737852608222,0.01077474642250164
200.0,3.4973572431802777,0.01406393074784366,0.009402895232759138
