# z  EEC
9.717040e-02  2.118395e-01
1.107960e-01  1.847317e-01
1.263320e-01  1.616604e-01
1.440465e-01  1.420127e-01
1.642450e-01  1.252450e-01
1.872760e-01  1.110091e-01
2.135360e-01  9.895584e-02
2.434785e-01  8.878378e-02
2.776200e-01  8.029280e-02
3.165485e-01  7.334193e-02
3.609360e-01  6.780468e-02
4.115475e-01  6.366259e-02
4.692555e-01  6.100086e-02
5.307445e-01  6.850157e-02
5.884530e-01  7.972128e-02
6.390645e-01  8.414887e-02
6.834515e-01  9.099963e-02
7.223800e-01  1.002202e-01
7.565215e-01  1.118826e-01
7.864640e-01  1.262834e-01
8.127240e-01  1.437151e-01
8.357550e-01  1.646733e-01
8.559535e-01  1.897023e-01
8.736680e-01  2.194818e-01
8.892040e-01  2.548507e-01
9.028295e-01  2.966446e-01
9.147795e-01  3.459503e-01
9.252600e-01  4.040720e-01
9.344515e-01  4.723251e-01
9.425125e-01  5.523795e-01
9.495820e-01  6.460281e-01
9.557825e-01  7.552770e-01
9.612205e-01  8.826762e-01
9.659895e-01  1.030407e+00
9.701720e-01  1.201586e+00
9.738400e-01  1.399003e+00
9.770570e-01  1.625903e+00
9.798785e-01  1.885920e+00
9.823530e-01  2.181887e+00
9.845230e-01  2.517408e+00
9.864265e-01  2.896550e+00
9.880960e-01  3.321597e+00
9.895600e-01  3.796176e+00
9.908440e-01  4.321602e+00
9.919700e-01  4.900120e+00
9.929575e-01  5.534199e+00
9.938235e-01  6.222982e+00
9.945830e-01  6.968142e+00
9.952490e-01  7.768571e+00
9.958330e-01  8.620529e+00
9.963455e-01  9.525994e+00
9.967950e-01  1.047368e+01
9.971895e-01  1.147176e+01
9.975350e-01  1.249879e+01
9.978380e-01  1.356208e+01
9.981040e-01  1.465448e+01
9.983370e-01  1.574726e+01
9.985415e-01  1.686505e+01
9.987210e-01  1.798039e+01
9.988785e-01  1.908629e+01
9.990165e-01  2.018085e+01
9.991375e-01  2.125969e+01
9.992435e-01  2.226402e+01
9.993365e-01  2.328235e+01
9.994180e-01  2.428603e+01
9.994895e-01  2.514177e+01
9.995525e-01  2.601090e+01
9.996075e-01  2.688283e+01
9.996555e-01  2.757247e+01
9.996980e-01  2.825446e+01
9.997355e-01  2.895160e+01
9.997680e-01  2.957015e+01
9.997965e-01  3.001663e+01
9.998215e-01  3.059110e+01
9.998435e-01  3.090216e+01
9.998630e-01  3.153228e+01
9.998795e-01  3.175186e+01
9.998940e-01  3.224177e+01
9.999070e-01  3.212732e+01
9.999185e-01  3.298657e+01
9.999285e-01  3.250300e+01
9.999375e-01  3.328552e+01
9.999455e-01  3.327601e+01
9.999520e-01  3.350284e+01
9.999580e-01  3.376672e+01
9.999630e-01  3.393055e+01
9.999675e-01  3.308255e+01
9.999715e-01  3.457005e+01
9.999750e-01  3.351821e+01
9.999785e-01  3.525738e+01
9.999810e-01  3.232117e+01
9.999830e-01  3.549773e+01
9.999850e-01  3.482290e+01
9.999870e-01  3.369341e+01
9.999885e-01  3.419989e+01
9.999900e-01  3.477489e+01
9.999915e-01  3.581274e+01
9.999925e-01  3.321187e+01
9.999935e-01  3.370285e+01
9.999945e-01  3.401825e+01
9.999950e-01  3.440577e+01
9.999955e-01  3.523896e+01
9.999960e-01  3.628368e+01
9.999965e-01  3.781375e+01
9.999970e-01  3.019378e+01
9.999970e-01  3.034450e+01
9.999975e-01  4.061659e+01
9.999980e-01  3.025385e+01
9.999980e-01  4.568186e+01
9.999985e-01  3.050694e+01
9.999990e-01  3.012988e+01
